CampaignType,AvgPledgedAmountInUSD,TotalPledgedAmountInUSD,NumberOfCampaigns,SuccessfulCampaigns
Shorter Campaign,9086.18662110103,126506976.32558963,13923,4990
Longer Campaign,8552.383254661096,9210916.76527,1077,329
